Plot ,species,Distance ,angel,individual,leaf ID,disc , disc_area,fresh_weight ,dry_weight ,canopy_openness
2,Colocasia_gigantea ,14,170,25,3,7,10,0.1044,0.0242,0.089312
2,Colocasia_gigantea ,14,170,25,4,7,10,0.1174,0.024,0.089312
2,Colocasia_gigantea ,14,170,25,5,7,10,0.112,0.025,0.089312
2,Colocasia_gigantea ,11.6,120,26,1,7,10,0.941,0.0189,0.065222
2,Colocasia_gigantea ,11.6,120,26,2,7,10,0.0894,0.0198,0.065222
2,Colocasia_gigantea ,11.6,120,26,3,7,10,0.0894,0.0183,0.065222
2,Colocasia_gigantea ,11.6,120,26,4,7,10,0.0875,0.0169,0.065222
2,Colocasia_gigantea ,11.6,120,26,5,7,10,0.0876,0.0185,0.065222
2,Colocasia_gigantea ,13,130,27,1,8,10,0.1255,0.0228,0.08803
2,Colocasia_gigantea ,13,130,27,2,7,10,0.0969,0.0186,0.08803
2,Colocasia_gigantea ,13,130,27,3,7,10,0.0972,0.0224,0.08803
2,Colocasia_gigantea ,13,130,27,4,7,10,0.1004,0.0198,0.08803
2,Colocasia_gigantea ,13,130,27,5,7,10,0.1006,0.0209,0.08803
2,Colocasia_gigantea ,13.4,120,28,1,7,10,0.1078,0.0209,0.095591
2,Colocasia_gigantea ,13.4,120,28,2,7,10,0.1012,0.0213,0.095591
2,Colocasia_gigantea ,13.4,120,28,3,7,10,0.1013,0.0222,0.095591
2,Colocasia_gigantea ,13.4,120,28,4,7,10,0.1121,0.0211,0.095591
2,Colocasia_gigantea ,13.4,120,28,5,7,10,0.1009,0.0205,0.095591
2,Colocasia_gigantea ,15.2,120,29,1,7,10,0.1065,0.0219,0.102614
2,Colocasia_gigantea ,15.2,120,29,2,7,10,0.097,0.0218,0.102614
2,Colocasia_gigantea ,15.2,120,29,3,7,10,0.1043,0.0221,0.102614
2,Colocasia_gigantea ,15.2,120,29,4,7,10,0.096,0.0227,0.102614
2,Colocasia_gigantea ,15.2,120,29,5,7,10,0.0941,0.0215,0.102614
2,Colocasia_gigantea ,3.8,310,30,1,7,10,0.1063,0.0145,0.088692
2,Colocasia_gigantea ,3.8,310,30,2,7,10,0.0908,0.0165,0.088692
2,Colocasia_gigantea ,3.8,310,30,3,7,10,0.0998,0.0194,0.088692
2,Colocasia_gigantea ,3.8,310,30,4,7,10,0.0975,0.0194,0.088692
2,Colocasia_gigantea ,3.8,310,30,5,7,10,0.1081,0.0194,0.088692
2,Colocasia_gigantea ,7.4,300,31,1,7,10,0.1041,0.0214,0.079426
2,Colocasia_gigantea ,7.4,300,31,2,7,10,0.1031,0.0224,0.079426
2,Colocasia_gigantea ,7.4,300,31,3,7,10,0.1077,0.0216,0.079426
2,Colocasia_gigantea ,7.4,300,31,4,7,10,0.1076,0.022,0.079426
2,Colocasia_gigantea ,7.4,300,31,5,7,10,0.115,0.0203,0.079426
2,Colocasia_gigantea ,4.6,340,32,1,7,10,0.1035,0.0202,0.086648
2,Colocasia_gigantea ,4.6,340,32,2,7,10,0.0996,0.021,0.086648
2,Colocasia_gigantea ,4.6,340,32,3,7,10,0.1088,0.0193,0.086648
2,Colocasia_gigantea ,4.6,340,32,4,7,10,0.1121,0.0185,0.086648
2,Colocasia_gigantea ,4.6,340,32,5,7,10,0.1,0.0197,0.086648
2,Colocasia_gigantea ,3.8,350,33,1,7,10,0.0902,0.0168,0.068149
2,Colocasia_gigantea ,3.8,350,33,2,7,10,0.0921,0.0179,0.068149
2,Colocasia_gigantea ,3.8,350,33,3,7,10,0.0957,0.0185,0.068149
2,Colocasia_gigantea ,3.8,350,33,4,7,10,0.0902,0.0181,0.068149
2,Colocasia_gigantea ,3.8,350,33,5,7,10,0.0975,0.0167,0.068149
2,Colocasia_gigantea ,8.9,340,34,1,7,10,0.1019,0.0254,0.104752
2,Colocasia_gigantea ,8.9,340,34,2,7,10,0.1087,0.0244,0.104752
2,Colocasia_gigantea ,8.9,340,34,3,7,10,0.1051,0.0242,0.104752
2,Colocasia_gigantea ,8.9,340,34,4,7,10,0.1102,0.021,0.104752
2,Colocasia_gigantea ,8.9,340,34,5,7,10,0.0962,0.0247,0.104752
2,Colocasia_gigantea ,10.3,310,35,1,7,10,0.0947,0.0197,0.050111
2,Colocasia_gigantea ,10.3,310,35,2,7,10,0.0958,0.0192,0.050111
2,Colocasia_gigantea ,10.3,310,35,3,7,10,0.0884,0.0199,0.050111
2,Colocasia_gigantea ,10.3,310,35,4,7,10,0.0884,0.0199,0.050111
